ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
85,20,1,76,1,680,1,mue2,mu^2
85,8,9,1281,0,915,1,mue2,mu^2
85,22,5,683,0,2099,1,mue2,mu^2
85,2,10,1496,0,1180,1,mue2,mu^2
86,20,1,115,1,265,1,qu3,qu3
86,22,5,717,0,2241,1,qu3,qu3
86,2,4,508,0,2677,1,qu3,qu3
86,1,3,417,0,678,1,qu3,qu3
86,8,1,30,1,1920,1,qu3,qu3
87,22,4,601,0,1607,1,tv3,Ty3
87,8,3,353,0,2398,1,tv3,Ty3
87,1,10,1539,0,553,1,tv3,Ty3
87,20,1,130,1,234,1,tv3,Ty3
87,2,7,1073,0,3385,1,tv3,Ty3
88,8,6,950,1,713,1,tvi2,Tyei2
88,20,8,1165,1,244,1,tvi2,Tyei2
88,22,5,741,0,2153,1,tvi2,Tyei2
88,1,2,244,0,942,1,tvi2,Tyei2
88,2,2,260,0,1435,1,tvi2,Tyei2
89,1,8,1123,0,215,1,lio4,lio4
89,8,7,1035,1,482,1,lio4,lio4
89,2,10,1585,0,1002,1,lio4,lio4
89,20,3,337,1,108,1,lio4,lio4
89,22,8,1183,1,1614,1,lio4,lio4
90,2,2,185,1,3737,1,ve1,y^1
90,8,4,597,0,1133,1,ve1,y^1
90,20,10,1504,1,56,1,ve1,y^1
90,1,2,199,0,850,1,ve1,y^1
90,22,8,1212,0,1294,1,ve1,y^1
91,1,4,515,0,493,1,gve2,ky^2
91,22,3,436,0,2416,1,gve2,ky^2
91,20,1,42,1,1108,1,gve2,ky^2
91,2,3,440,0,1197,1,gve2,ky^2
91,8,1,43,0,1074,1,gve2,ky^2
92,22,8,1208,0,752,1,pen3,P^n3
92,1,4,524,0,753,1,pen3,P^n3
92,2,2,172,0,1962,1,pen3,P^n3
92,8,7,1087,0,1190,1,pen3,P^n3
92,20,1,105,1,1293,1,pen3,P^n3
93,20,8,1195,1,131,1,tei1,Tei1
93,22,2,233,0,1768,1,tei1,Tei1
93,2,6,914,0,223,1,tei1,Tei1
93,8,3,477,0,1829,1,tei1,Tei1
93,1,3,395,0,1345,1,tei1,Tei1
94,2,1,80,0,2226,1,shio4,Sio4
94,20,8,1276,1,114,1,shio4,Sio4
94,22,1,3,0,1213,1,shio4,Sio4
94,8,6,859,0,995,1,shio4,Sio4
94,1,6,881,0,621,1,shio4,Sio4
95,8,1,135,1,2268,1,riu2,riou2
95,22,3,440,1,1909,1,riu2,riou2
95,20,8,1204,1,474,1,riu2,riou2
95,1,3,321,0,870,1,riu2,riou2
95,2,9,1378,0,760,1,riu2,riou2
96,1,10,1568,0,547,1,gvn2,kyn2
96,2,1,78,0,2241,1,gvn2,kyn2
96,8,10,1449,0,490,1,gvn2,kyn2
96,22,2,252,0,1661,1,gvn2,kyn2
96,20,6,825,1,521,1,gvn2,kyn2
97,1,5,749,0,645,1,jve3,jye3
97,22,8,1223,0,1261,1,jve3,jye3
97,2,6,884,0,2070,1,jve3,jye3
97,20,2,262,1,346,1,jve3,jye3
97,8,2,315,0,2941,1,jve3,jye3
98,20,4,512,1,995,1,chiao2,ziau2
98,8,9,1333,0,1138,1,chiao2,ziau2
98,22,2,193,1,3054,1,chiao2,ziau2
98,2,5,799,0,791,1,chiao2,ziau2
98,1,3,322,0,939,1,chiao2,ziau2
99,2,9,1428,0,1374,1,fvan1,fy[n1
99,1,10,1463,0,470,1,fvan1,fy[n1
99,22,7,1064,0,1799,1,fvan1,fy[n1
99,20,1,65,1,3,1,fvan1,fy[n1
99,8,10,1441,1,553,1,fvan1,fy[n1
100,2,2,305,0,1046,1,die3,ti[3
100,1,6,803,0,1208,1,die3,ti[3
100,8,5,718,0,3949,1,die3,ti[3
100,22,7,1006,0,1841,1,die3,ti[3
100,20,1,41,1,0,1,die3,ti[3
101,8,3,454,0,2921,1,zhve1,Zy^1
101,22,6,845,0,1673,1,zhve1,Zy^1
101,20,2,167,1,226,1,zhve1,Zy^1
101,2,9,1427,0,808,1,zhve1,Zy^1
101,1,5,688,0,503,1,zhve1,Zy^1
102,8,1,93,0,1459,1,ciei3,Ciei3
102,22,2,237,0,1731,1,ciei3,Ciei3
102,2,3,351,0,1823,1,ciei3,Ciei3
102,1,1,148,0,563,1,ciei3,Ciei3
102,20,2,296,1,41,1,ciei3,Ciei3
103,2,9,1412,0,875,1,lai3,lai3
103,20,9,1296,1,69,1,lai3,lai3
103,22,9,1373,0,1778,1,lai3,lai3
103,1,5,772,0,579,1,lai3,lai3
103,8,2,282,1,1184,1,lai3,lai3
104,20,5,772,1,251,1,rai4,rai4
104,8,5,673,0,1898,1,rai4,rai4
104,22,3,407,0,2686,1,rai4,rai4
104,2,8,1170,0,753,1,rai4,rai4
104,1,9,1320,0,603,1,rai4,rai4
105,2,1,133,0,960,1,hve3,hye3
105,20,7,1039,1,44,1,hve3,hye3
105,22,9,1370,0,830,1,hve3,hye3
105,1,1,64,0,1800,1,hve3,hye3
105,8,8,1212,0,464,1,hve3,hye3
106,8,7,1053,1,868,1,giong2,kioN2
106,20,10,1528,1,135,1,giong2,kioN2
106,22,4,630,0,1381,1,giong2,kioN2
106,1,3,328,0,655,1,giong2,kioN2
106,2,8,1224,0,932,1,giong2,kioN2
107,20,10,1547,1,183,1,xao1,xau1
107,2,2,252,1,954,1,xao1,xau1
107,22,4,624,0,2193,1,xao1,xau1
107,1,6,851,0,854,1,xao1,xau1
107,8,5,710,1,1662,1,xao1,xau1
108,22,7,1010,0,1764,1,se1,se1
108,8,10,1525,0,434,1,se1,se1
108,2,10,1531,0,667,1,se1,se1
108,20,5,663,1,124,1,se1,se1
108,1,10,1562,0,672,1,se1,se1
109,8,7,969,0,681,1,liei1,liei1
109,20,8,1243,1,97,1,liei1,liei1
109,22,3,430,0,2765,1,liei1,liei1
109,2,9,1375,0,873,1,liei1,liei1
109,1,1,112,0,765,1,liei1,liei1
110,1,1,37,0,1390,1,hve2,hye2
110,20,8,1175,1,97,1,hve2,hye2
110,8,1,36,1,1575,1,hve2,hye2
110,22,2,236,0,2676,1,hve2,hye2
110,2,8,1186,0,830,1,hve2,hye2
111,8,8,1231,1,1412,1,zua2,cua2
111,1,10,1511,1,1452,1,zua2,cua2
111,22,6,815,0,1192,1,zua2,cua2
111,20,3,424,1,207,1,zua2,cua2
111,2,4,567,0,959,1,zua2,cua2
112,22,2,242,0,974,1,rvou2,ryou2
112,20,6,959,1,230,1,rvou2,ryou2
112,8,6,913,0,931,1,rvou2,ryou2
112,2,4,592,0,758,1,rvou2,ryou2
112,1,2,253,0,667,1,rvou2,ryou2
113,8,7,1047,0,268,1,kiu4,Kiou4
113,20,6,851,1,230,1,kiu4,Kiou4
113,2,3,389,0,1936,1,kiu4,Kiou4
113,1,4,497,0,751,1,kiu4,Kiou4
113,22,4,574,0,2423,1,kiu4,Kiou4
114,2,8,1247,0,715,1,gin4,kin4
114,20,7,989,1,23,1,gin4,kin4
114,1,10,1517,0,391,1,gin4,kin4
114,8,9,1401,0,968,1,gin4,kin4
114,22,9,1326,0,734,1,gin4,kin4
115,2,3,433,0,2613,1,zhvou4,Zyou4
115,20,7,1003,1,264,1,zhvou4,Zyou4
115,22,9,1327,0,467,1,zhvou4,Zyou4
